WARMING UP...
Loading checkpoint weights from: /DATA/Documents/ai_controlled_car/src/ai_car_control/weights/simple_train.cnn.weights.499.h5....
---> SUCCESS
MODEL BUILDED...
steering --> [[101.412735]]
steering --> [[101.42942]]
steering --> [[101.45945]]
steering --> [[101.471725]]
steering --> [[101.497345]]
steering --> [[95.490585]]
steering --> [[92.96699]]
steering --> [[95.9796]]
steering --> [[91.841606]]
steering --> [[87.1216]]
steering --> [[91.78274]]
steering --> [[88.563324]]
steering --> [[87.780716]]
steering --> [[91.25637]]
steering --> [[90.809906]]
steering --> [[89.85815]]
steering --> [[87.64868]]
steering --> [[88.18096]]
steering --> [[88.25781]]
steering --> [[87.03753]]
steering --> [[86.0528]]
steering --> [[84.80625]]
steering --> [[86.810486]]
steering --> [[88.24873]]
steering --> [[93.82148]]
steering --> [[91.53259]]
steering --> [[90.02932]]
steering --> [[92.60699]]
steering --> [[94.452705]]
steering --> [[100.02923]]
steering --> [[97.97559]]
steering --> [[98.23175]]
steering --> [[87.11055]]
steering --> [[86.83508]]
steering --> [[93.32611]]
steering --> [[107.28731]]
steering --> [[105.21741]]
steering --> [[111.496895]]
steering --> [[107.386444]]
steering --> [[103.75362]]
steering --> [[96.560425]]
steering --> [[97.85796]]
steering --> [[96.22476]]
steering --> [[100.588234]]
steering --> [[94.52529]]
steering --> [[88.90271]]
steering --> [[93.01673]]
steering --> [[82.164406]]
steering --> [[77.694885]]
steering --> [[77.40293]]
steering --> [[89.61772]]
steering --> [[94.8839]]
steering --> [[89.34989]]
steering --> [[96.66371]]
steering --> [[99.01543]]
steering --> [[98.21799]]
steering --> [[89.00708]]
steering --> [[73.61984]]
steering --> [[85.32512]]
steering --> [[93.68452]]
steering --> [[100.02737]]
steering --> [[101.8931]]
steering --> [[102.32244]]
steering --> [[102.78726]]
steering --> [[102.51452]]
steering --> [[103.45998]]
steering --> [[99.57429]]
steering --> [[98.12988]]
steering --> [[92.25169]]
steering --> [[87.712364]]
steering --> [[85.68555]]
steering --> [[88.13764]]
steering --> [[90.28616]]
steering --> [[94.28171]]
steering --> [[94.649864]]
steering --> [[87.57912]]
steering --> [[82.52291]]
steering --> [[84.37739]]
steering --> [[87.52203]]
steering --> [[92.44033]]
steering --> [[95.88592]]
steering --> [[98.20274]]
steering --> [[99.44466]]
steering --> [[98.10516]]
steering --> [[89.00288]]
steering --> [[92.9674]]
steering --> [[98.86934]]
steering --> [[98.97485]]
steering --> [[98.23911]]
steering --> [[101.598976]]
steering --> [[97.97703]]
steering --> [[84.60078]]
steering --> [[82.9116]]
steering --> [[93.74716]]
steering --> [[96.0779]]
steering --> [[99.32655]]
steering --> [[101.910995]]
steering --> [[98.30869]]
steering --> [[105.40927]]
steering --> [[103.10127]]
steering --> [[114.684265]]
steering --> [[113.08412]]
steering --> [[113.63816]]
steering --> [[110.99814]]
steering --> [[104.719696]]
steering --> [[106.58396]]
steering --> [[108.452095]]
steering --> [[110.86603]]
steering --> [[107.99603]]
steering --> [[116.595795]]
steering --> [[105.66614]]
steering --> [[99.65474]]
steering --> [[95.589874]]
steering --> [[92.81512]]
steering --> [[73.38951]]
steering --> [[84.2765]]
steering --> [[88.526054]]
steering --> [[87.12771]]
steering --> [[94.74105]]
steering --> [[95.239075]]
steering --> [[96.360535]]
steering --> [[93.47861]]
steering --> [[95.704025]]
steering --> [[94.3893]]
steering --> [[92.7557]]
steering --> [[89.61184]]
steering --> [[90.696365]]
steering --> [[88.60237]]
steering --> [[89.779884]]
steering --> [[88.35061]]
steering --> [[89.24412]]
